Ad clicked Date,Ad Title/Id
2026/01/18 00:10:40 UTC,145111864
2026/03/28 00:55:12 UTC,1378393826
2024/11/13 13:37:47 UTC,493707166
2026/03/26 15:15:53 UTC,1001471066
2026/02/06 11:58:15 UTC,1065081546
2026/03/07 03:13:17 UTC,1326088536
2026/02/06 18:55:36 UTC,1030829156
2024/11/04 22:52:44 UTC,523264514
2026/02/06 18:55:58 UTC,1030829156
2025/08/04 18:36:08 UTC,239156756
2025/07/05 18:30:51 UTC,669432924
2025/12/03 13:29:50 UTC,896156664
2025/10/07 01:48:47 UTC,145111864
2025/10/12 01:46:52 UTC,739821416
2025/10/06 23:32:53 UTC,884813746
2024/11/10 18:11:02 UTC,521485403
2024/09/16 21:48:12 UTC,370096286
2026/01/10 19:52:39 UTC,991405136
2024/09/16 21:48:36 UTC,468107126
2026/01/10 19:53:39 UTC,975651436
2025/02/02 20:26:50 UTC,550106294
2026/01/10 19:57:12 UTC,1020968156
2025/09/29 01:13:24 UTC,737396344
2026/01/10 22:05:51 UTC,838250956
2025/09/29 01:13:33 UTC,737396344
2026/01/10 22:07:09 UTC,1027180566
2025/09/29 01:13:39 UTC,737396344
2026/01/10 20:04:42 UTC,981200806
2025/09/29 01:14:48 UTC,737396344
2026/01/10 20:05:07 UTC,981200806
2025/09/29 01:16:08 UTC,737396344
2026/01/30 03:30:52 UTC,145111864
2025/09/29 01:16:16 UTC,737396344
2025/07/27 21:43:27 UTC,745210833
2025/09/29 01:16:23 UTC,737396344
2026/01/27 12:21:00 UTC,1032980386
2025/01/11 15:52:29 UTC,560743786
2026/03/06 01:01:13 UTC,145111864
2026/02/04 12:25:12 UTC,716939843
2025/08/21 11:08:37 UTC,745190743
2026/01/16 04:13:34 UTC,799751246
2026/03/09 12:06:42 UTC,1329300226
2026/01/15 12:37:37 UTC,145111864
2025/12/04 18:45:49 UTC,239156666
